cuisine,star_rating,restaurant_id,longitude,num_reviews,restaurant_name,latitude,is_closed,zip_code
"Diners, Middle Eastern, Breakfast & Brunch",4.0,UZJ361wkdyZfxWax3oc3rg,-71.1017365,487,Brookline Lunch,42.3637641,0,02139
"Juice Bars & Smoothies, Cafes",4.0,2O_KVXfW7CtYsmSHxA4Hew,-71.115817,65,Juicygreens,42.307693,0,02130
Seafood,3.5,Rr7rhulFCpGvO341g-EWVg,-71.077868,569,Legal Sea Foods,42.347085,0,02116
"Pizza, Pasta Shops, American (New)",3.0,6K1E7cCy6NZEAnNI84T5hw,-71.0630602017,56,Rodey Pizzeria and Pasta,42.3642736173,0,02114
"Pizza, Italian",4.0,AJEu9qBF1oLY6mqlek1gYg,-71.0984469097,148,Regina Pizzeria,42.3442548215,0,02215
"Burgers, Breakfast & Brunch",4.5,KdfxJFeS6-TOLyCMw9tsXg,-71.07584,9,Smashburger,42.350795,0,02116
"Breakfast & Brunch, Delis, American (Traditional)",4.0,gxNxT-sk72z9ja6QNYnEHw,-71.1236822111,1575,Zaftigs Delicatessen - Brookline,42.3438604738,0,02446
"Desserts, Gift Shops, Chocolatiers & Shops",4.5,lG-1oVC1JGmjwXLqbD6j1g,-71.0772621632,38,Gourmet Boutique,42.3486807132,0,02116
Latin American,4.0,EEAoaQoxrE-BtgrQ2IryBg,-71.1002579,9,D&D Restaurant,42.3141708,0,02130
Parks,3.5,aycDjq5Xe-ANVBEP5yYA3g,-71.1509799957,2,Cassidy Playground,42.3360199481,0,02135
"Turkish, Mediterranean, Kebab",4.0,x80bi4pYRSD5LxsY86JNsA,-71.0551782469,217,Boston Kebab House,42.3578241624,0,02109
Coffee & Tea,3.0,mvEzzcqpiK5w5F80FEkYHg,-71.069345,49,Starbucks,42.356342,0,02108
"Sushi Bars, Ramen, Noodles",4.5,-rrC8RtPvvhUPcQFHXVDNQ,-71.126876,153,Chiharu,42.329694,0,02445
"Diners, American (Traditional)",4.0,uOvBKXwrNag61_dJW9YXcA,-71.0868911743,102,Buddy's Diner,42.3813476562,0,02143
Mexican,3.5,Whh9-r1AKYA5r4W2a8pnJA,-71.1184253544,371,Anna's Taqueria,42.3881064355,0,02140
"Delis, Breakfast & Brunch, Sandwiches",4.5,-WG2sv6ApNh1fa7ot-QAEA,-71.0592011687,173,Archie's New York Deli,42.3550721035,0,02110
"Pizza, Ice Cream & Frozen Yogurt",3.5,d_SesaaSLwur2BYcMfb6Fg,-71.0660403,95,Boston Pizza Grill,42.3159516,0,02125
Vietnamese,4.0,vsS0M6qbVFaCFKYZA2Iu2g,-71.0390451,171,Saigon Hut,42.377266,0,02128
"Grocery, Pasta Shops, Sandwiches",4.5,EITnn5A8beuzn7TCfUMZAQ,-71.05495,102,Bricco Salumeria and Pasta Shoppe,42.36292,0,02113
"Vietnamese, Food Trucks, Asian Fusion",4.0,JyR-FFTeNW_QWCeeu8LJyg,-71.051518,63,Bon Me,42.356684,0,02110
"Burgers, Fast Food, Coffee & Tea",1.5,r1mx6M3JLY3zusCeGkpmTw,-71.0822282732,23,McDonald's,42.3203520682,0,02119
Ice Cream & Frozen Yogurt,2.5,U3aHWk-pQg23rmAu7hSGhQ,-71.04853,14,JP Licks,42.33707,0,02127
"Japanese, Sushi Bars, Asian Fusion",4.0,AHgRWXw3IMe5WHktt3f6Xg,-71.0559069509,269,Crudo,42.3636849646,0,02113
