cuisine,star_rating,transactions,restaurant_id,longitude,num_reviews,restaurant_name,latitude,is_closed,zip_code
"American (New), Lounges, Pizza",3.5,"delivery, pickup",BOu8G-QQMOKZRjw79HM-lQ,-71.1044936,502,Bella Luna Restaurant & The Milky Way Lounge,42.3145811,1,02130
"American (New), Pubs, Breakfast & Brunch",3.0,delivery,VTvZpoW24og2k2t5RRp0Vw,-71.0842514038,281,Lir Irish Pub & Restaurant,42.3485069275,1,02115
"Bars, American (Traditional), American (New)",3.5,delivery,yJZkJr3Bb5XqqoRDa22o5A,-71.0843353271,1135,The Pour House,42.3484840393,1,02115
"American (Traditional), Burgers, Beer Bar",3.0,,DuT5BBmKRtcGYQzKkoEiZw,-71.055392,322,Cheers - Faneuil Hall,42.360056,1,02109
Mexican,3.5,"delivery, pickup",ecubob5HjRKkci4wEuK3ow,-71.125513,583,Anna's Taqueria,42.341357,1,02446
"Sports Bars, American (Traditional)",3.5,delivery,Cnmw5H0jwJI6mJb5xDDQtA,-71.06098,352,The Four's Restaurant & Sports Bar,42.36498,1,02114
"Sports Bars, Breakfast & Brunch, Irish",3.5,delivery,dB7dauNiPa4Tx1aIcZGeog,-71.0844268799,361,McGreevy's,42.3484611511,1,02115
Breakfast & Brunch,3.5,"pickup, delivery",yx4IYpg9MGbrVqNdZwXX_A,-71.09019,1937,The Friendly Toast- Cambridge,42.36657,1,02139
"Latin American, Italian, Cooking Classes",4.0,"pickup, delivery",3w53096TZI65qMgxhuwc2A,-71.0555801,474,Taranta Cucina Meridionale,42.363031,1,02113
"Pubs, Music Venues, American (Traditional)",4.5,delivery,ItZXR8qp_WC_v9zuSQGS9w,-71.0993869,162,Bull McCabe's Pub,42.3810112,1,02143
"Pizza, Italian",3.5,delivery,ljBH1FoYNZ_Ubhfkqvs-Sw,-71.1321027,324,Regina Pizza,42.355996,1,02134
"Pubs, Burgers, Sandwiches",3.5,delivery,qhz_ypl5rVzP-sJ-7t6ctw,-71.1035370827,310,The Field,42.3657738363,1,02139
"Pool Halls, Dive Bars, American (Traditional)",3.5,,D-kkOr5VQhdP-FtBFJWUjQ,-71.090659,187,Flat Top Johnny's,42.366525,1,02139
Italian,4.0,,uiZq2qHtUgYPPOtXW47UTQ,-71.068389,400,Erbaluce,42.350149,1,02116
Japanese,4.0,delivery,ZIDpQv9y5UWTSE-01hOfVQ,-71.05408,93,Kamakura,42.3594,1,02109
"Italian, Seafood, Bars",4.0,delivery,5rINmqRcMlJCBR3vwMKbtg,-71.065805,539,Cinquecento,42.342118,1,02118
"American (Traditional), Pubs, Whiskey Bars",2.5,delivery,h6b_e9Umiau5osfScdR4Ww,-71.0836099,626,Whiskey's Food & Spirits,42.3486,1,02116
"Japanese, Noodles",4.0,delivery,mCX9XzBLB1y5_OrFASv1mA,-71.12179,145,Love Art Udon,42.35143,1,02215
"French, Wine Bars, Jazz & Blues",3.5,delivery,trHvcsE3xRS8YcbrDrnSmg,-71.0574668734,445,Les Zygomates,42.3511627811,1,02111
"Pubs, American (New), Breakfast & Brunch",4.0,delivery,vdO-x0KEP_c-hFB37viK9w,-71.13719,1102,Deep Ellum,42.3539,1,02134
"Tapas/Small Plates, Wine Bars, Cocktail Bars",4.0,delivery,C7FKNwSUlbUinT9cRSLXHA,-71.0971361,1149,Cuchi Cuchi,42.3634434,1,02139
"Italian, Wine Bars, Desserts",4.0,delivery,MjpH-uP90jTUp_KqAOiBJg,-71.0725,815,Stella,42.33994,1,02118
"American (New), Wine Bars",3.5,delivery,Ug6ngfzLT_cPzSttve1OzQ,-71.08252,2277,Top of the Hub,42.347121,1,02199
